director,quote,score,title
导演: 弗兰克·德拉邦特 Frank Darabont,希望让人自由。,9.7,肖申克的救赎
导演: 陈凯歌 Kaige Chen,风华绝代。,9.6,霸王别姬
导演: 吕克·贝松 Luc Besson,怪蜀黍和小萝莉不得不说的故事。,9.4,这个杀手不太冷
导演: 罗伯特·泽米吉斯 Robert Zemeckis,一部美国近现代史。,9.5,阿甘正传
导演: 罗伯托·贝尼尼 Roberto Benigni,最美的谎言。,9.5,美丽人生
导演: 詹姆斯·卡梅隆 James Cameron,失去的才是永恒的。 ,9.4,泰坦尼克号
导演: 宫崎骏 Hayao Miyazaki,最好的宫崎骏，最好的久石让。 ,9.3,千与千寻
导演: 史蒂文·斯皮尔伯格 Steven Spielberg,拯救一个人，就是拯救整个世界。,9.5,辛德勒的名单
导演: 克里斯托弗·诺兰 Christopher Nolan,诺兰给了我们一场无法盗取的梦。,9.3,盗梦空间
导演: 莱塞·霍尔斯道姆 Lasse Hallström,永远都不能忘记你所爱的人。,9.3,忠犬八公的故事
导演: 安德鲁·斯坦顿 Andrew Stanton,小瓦力，大人生。,9.3,机器人总动员
导演: 拉库马·希拉尼 Rajkumar Hirani,英俊版憨豆，高情商版谢耳朵。,9.2,三傻大闹宝莱坞
导演: 克里斯托夫·巴拉蒂 Christophe Barratier,天籁一般的童声，是最接近上帝的存在。 ,9.3,放牛班的春天
导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.2,海上钢琴师
导演: 彼得·威尔 Peter Weir,如果再也不能见到你，祝你早安，午安，晚安。,9.2,楚门的世界
导演: 刘镇伟 Jeffrey Lau,一生所爱。,9.2,大话西游之大圣娶亲
导演: 克里斯托弗·诺兰 Christopher Nolan,爱是一种力量，让我们超越时空感知它的存在。,9.3,星际穿越
导演: 宫崎骏 Hayao Miyazaki,人人心中都有个龙猫，童年就永远不会消失。,9.2,龙猫
导演: 黄东赫 Dong-hyuk Hwang,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.3,熔炉
导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,千万不要记恨你的对手，这样会让你失去理智。,9.3,教父
导演: 刘伟强 / 麦兆辉,香港电影史上永不过时的杰作。,9.2,无间道
导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,9.2,疯狂动物城
导演: 加布里尔·穆奇诺 Gabriele Muccino,平民励志片。 ,9.1,当幸福来敲门
导演: 罗伯·莱纳 Rob Reiner,真正的幸福是来自内心深处。,9.0,怦然心动
导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,满满温情的高雅喜剧。,9.2,触不可及
导演: 克里斯托弗·诺兰 Christopher Nolan,无尽的黑暗。,9.1,蝙蝠侠：黑暗骑士
导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,Tomorrow is another day.,9.3,乱世佳人
导演: 张艺谋 Yimou Zhang,张艺谋最好的电影。,9.2,活着
导演: 比利·怀尔德 Billy Wilder,比利·怀德满分作品。,9.6,控方证人
导演: 李安 Ang Lee,瑰丽壮观、无人能及的冒险之旅。,9.0,少年派的奇幻漂流
导演: 彼得·杰克逊 Peter Jackson,史诗的终章。,9.2,指环王3：王者无敌
导演: 涅提·蒂瓦里 Nitesh Tiwari,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,9.0,摔跤吧！爸爸
导演: 宫崎骏 Hayao Miyazaki,对天空的追逐，永不停止。 ,9.1,天空之城
导演: 姜文 Wen Jiang,对敌人的仁慈，就是对自己残忍。,9.2,鬼子来了
导演: Sidney Lumet,1957年的理想主义。 ,9.4,十二怒汉
导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.2,天堂电影院
导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,最后那些最无聊的事情，才是最值得怀念的。 ,9.0,飞屋环游记
导演: 刘镇伟 Jeffrey Lau,旷古烁今。,9.0,大话西游之月光宝盒
导演: 宫崎骏 Hayao Miyazaki,带着心爱的人在天空飞翔。,9.0,哈尔的移动城堡
导演: 威廉·惠勒 William Wyler,爱情哪怕只有一天。,9.0,罗马假日
导演: 大卫·芬奇 David Fincher,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0,搏击俱乐部
导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,9.2,末代皇帝
导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,死亡不是真的逝去，遗忘才是永恒的消亡。,9.0,寻梦环游记
导演: 马丁·布莱斯 Martin Brest,史上最美的探戈。,9.0,闻香识女人
导演: 杨宇硕 Woo-seok Yang,电影的现实意义大过电影本身。,9.2,辩护人
导演: 李濬益 Jun-ik Lee,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,9.2,素媛
导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,别样人生。,9.1,窃听风暴
导演: 彼得·威尔 Peter Weir,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,9.0,死亡诗社
导演: Guy Ritchie,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,9.1,两杆大烟枪
导演: 米洛斯·福尔曼 Miloš Forman,自由万岁。,9.1,飞越疯人院
导演: 彼得·杰克逊 Peter Jackson,承前启后的史诗篇章。,9.0,指环王2：双塔奇兵
导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,优雅的孤独。,9.2,教父2
