,num,title,init_year,area,genre,rating_num,comment_num,language,director,cast,movie_duration,tags
0,1,肖申克的救赎,1994,美国,犯罪 剧情,9.6,964842,英语,弗兰克·德拉邦特 Frank Darabont,"蒂姆·罗宾斯 Tim Robbins', '摩根·弗里曼 Morgan Freeman', '鲍勃·冈顿 Bob Gunton', '威廉姆·赛德勒 William Sadler', '克兰西·布朗 Clancy Brown', '吉尔·贝罗斯 Gil Bellows', '马克·罗斯顿 Mark Rolston', '詹姆斯·惠特摩 James Whitmore', '杰弗里·德曼 Jeffrey DeMunn', '拉里·布兰登伯格 Larry Brandenburg', '尼尔·吉恩托利 Neil Giuntoli', '布赖恩·利比 Brian Libby', '大卫·普罗瓦尔 David Proval', '约瑟夫·劳格诺 Joseph Ragno', '祖德·塞克利拉 Jude Ciccolella",142,"[{'count': 197742, 'name': '经典'}, {'count': 168278, 'name': '励志'}, {'count': 150816, 'name': '信念'}, {'count': 136433, 'name': '自由'}, {'count': 100023, 'name': '美国'}, {'count': 97065, 'name': '人性'}, {'count': 75735, 'name': '人生'}, {'count': 62038, 'name': '剧情'}]"
1,2,霸王别姬,1993,中国大陆 香港,剧情 爱情 同性,9.5,699930,汉语普通话,陈凯歌 Kaige Chen,"张国荣 Leslie Cheung', '张丰毅 Fengyi Zhang', '巩俐 Li Gong', '葛优 You Ge', '英达 Da Ying', '蒋雯丽 Wenli Jiang', '吴大维 David Wu', '吕齐 Qi Lü', '雷汉 Han Lei', '尹治 Zhi Yin', '马明威 Mingwei Ma', '费振翔 Zhenxiang Fei', '智一桐 Yitong Zhi', '李春 Chun Li', '赵海龙 Hailong Zhao', '李丹 Dan Li', '童弟 Di Tong', '沈慧芬 Huifen Shen', '黄斐 Fei Huang",171,"[{'count': 124150, 'name': '经典'}, {'count': 63691, 'name': '中国电影'}, {'count': 60284, 'name': '爱情'}, {'count': 58677, 'name': '文艺'}, {'count': 56385, 'name': '人性'}, {'count': 49648, 'name': '同志'}, {'count': 45309, 'name': '人生'}, {'count': 34298, 'name': '剧情'}]"
2,3,这个杀手不太冷,1994,法国,剧情 动作 犯罪,9.4,912435,"英语', '意大利语', '法语",吕克·贝松 Luc Besson,"让·雷诺 Jean Reno', '娜塔莉·波特曼 Natalie Portman', '加里·奥德曼 Gary Oldman', '丹尼·爱罗 Danny Aiello', '彼得·阿佩尔 Peter Appel', '迈克尔·巴达鲁科 Michael Badalucco', '艾伦·格里尼 Ellen Greene', '伊丽莎白·瑞根 Elizabeth Regen', '卡尔·马图斯维奇 Carl J. Matusovich', '弗兰克·赛格 Frank Senger', '麦温 Maïwenn', '乔治·马丁 George Martin', '罗伯特·拉萨多 Robert LaSardo', '亚当·布斯奇 Adam Busch', '马里奥·托迪斯科 Mario Todisco', '萨米·纳塞利 Samy Naceri",110,"[{'count': 150097, 'name': '经典'}, {'count': 85994, 'name': '爱情'}, {'count': 85000, 'name': '温情'}, {'count': 59611, 'name': '人性'}, {'count': 53425, 'name': '剧情'}, {'count': 41229, 'name': '动作'}, {'count': 37171, 'name': '犯罪'}, {'count': 23234, 'name': '1994'}]"
3,4,阿甘正传,1994,美国,剧情 爱情,9.4,775889,英语,Robert Zemeckis,"Tom Hanks', 'Robin Wright Penn', 'Gary Sinise', 'Mykelti Williamson', 'Sally Field', 'Michael Conner Humphreys', 'Haley Joel Osment",142,"[{'count': 179046, 'name': '励志'}, {'count': 134124, 'name': '经典'}, {'count': 101061, 'name': '美国'}, {'count': 92361, 'name': '人生'}, {'count': 69678, 'name': '信念'}, {'count': 68910, 'name': '成长'}, {'count': 38545, 'name': '剧情'}, {'count': 29198, 'name': '人性'}]"
4,5,美丽人生,1997,意大利,剧情 喜剧 爱情 战争,9.5,453651,"意大利语', '德语', '英语",罗伯托·贝尼尼 Roberto Benigni,"罗伯托·贝尼尼 Roberto Benigni', '尼可莱塔·布拉斯基 Nicoletta Braschi', '乔治·坎塔里尼 Giorgio Cantarini', '朱斯蒂诺·杜拉诺 Giustino Durano', '塞尔吉奥·比尼·布斯特里克 Sergio Bini Bustric', '玛丽莎·佩雷德斯 Marisa Paredes', '豪斯特·巴奇霍兹 Horst Buchholz', '利迪娅·阿方西 Lidia Alfonsi', '朱利亚娜·洛约迪切 Giuliana Lojodice', '亚美利哥·丰塔尼 Amerigo Fontani', '彼得·德·席尔瓦 Pietro De Silva', '弗朗西斯·古佐 Francesco Guzzo', '拉法埃拉·莱博罗尼 Raffaella Lebboroni', '克劳迪奥·阿方西 Claudio Alfonsi', '吉尔·巴罗尼 Gil Baroni', '马西莫·比安奇 Massimo Bianchi', '恩尼奥·孔萨尔维 Ennio Consalvi', '吉安卡尔洛·科森蒂诺 Giancarlo Cosentino', '阿伦·克雷格 Aaron Craig",116,"[{'count': 70710, 'name': '意大利'}, {'count': 67057, 'name': '二战'}, {'count': 66974, 'name': '经典'}, {'count': 65271, 'name': '亲情'}, {'count': 41626, 'name': '战争'}, {'count': 27446, 'name': '温情'}, {'count': 23931, 'name': '爱情'}, {'count': 23904, 'name': '人性'}]"
5,6,千与千寻,2001,日本,剧情 动画 奇幻,9.2,725483,日语,宫崎骏 Hayao Miyazaki,"柊瑠美 Rumi Hîragi', '入野自由 Miyu Irino', '夏木真理 Mari Natsuki', '菅原文太 Bunta Sugawara', '中村彰男 Akio Nakamura', '玉井夕海 Yumi Tamai', '神木隆之介 Ryûnosuke Kamiki', '内藤刚志 Takashi Naitô', '泽口靖子 Yasuko Sawaguchi', '我修院达也 Tatsuya Gashûin', '大泉洋 Yô Ôizumi', '小林郁夫 Koba Hayashi', '上条恒彦 Tsunehiko Kamijô', '小野武彦 Takehiko Ono",125,"[{'count': 110085, 'name': '日本'}, {'count': 105157, 'name': '动画'}, {'count': 63536, 'name': '动漫'}, {'count': 56736, 'name': '经典'}, {'count': 55098, 'name': '成长'}, {'count': 50378, 'name': '温情'}, {'count': 32297, 'name': '吉卜力'}, {'count': 31081, 'name': '人性'}]"
6,7,泰坦尼克号,1997,美国,剧情 爱情 灾难,9.2,716225,"英语', '意大利语', '德语', '俄语",詹姆斯·卡梅隆 James Cameron,"莱昂纳多·迪卡普里奥 Leonardo DiCaprio', '凯特·温丝莱特 Kate Winslet', '比利·赞恩 Billy Zane', '凯西·贝茨 Kathy Bates', '弗兰西丝·费舍 Frances Fisher', '格劳瑞亚·斯图尔特 Gloria Stuart', '比尔·帕克斯顿 Bill Paxton', '伯纳德·希尔 Bernard Hill', '大卫·沃纳 David Warner', '维克多·加博 Victor Garber', '乔纳森·海德 Jonathan Hyde', '苏茜·爱米斯 Suzy Amis', '刘易斯·阿伯内西 Lewis Abernathy', '尼古拉斯·卡斯柯恩 Nicholas Cascone', '阿那托利·萨加洛维奇 Anatoly M. Sagalevitch', '丹尼·努齐 Danny Nucci', '杰森·贝瑞 Jason Barry', '伊万·斯图尔特 Ewan Stewart', '艾恩·格拉法德 Ioan Gruffudd', '乔纳森·菲利普斯 Jonathan Phillips', '马克·林赛·查普曼 Mark Lindsay Chapman', '理查德·格拉翰 Richard Graham', '保罗·布赖特威尔 Paul Brightwell', '艾瑞克·布里登 Eric Braeden', '夏洛特·查顿 Charlotte Chatton', '博纳德·福克斯 Bernard Fox', '迈克尔·英塞恩 Michael Ensign', '法妮·布雷特 Fannie Brett', '马丁·贾维斯 Martin Jarvis', '罗莎琳·艾尔斯 Rosalind Ayres', '罗切尔·罗斯 Rochelle Rose', '乔纳森·伊万斯-琼斯 Jonathan Evans-Jones', '西蒙·克雷恩 Simon Crane', '爱德华德·弗莱彻 Edward Fletcher', '斯科特·安德森 Scott Anderson', '马丁·伊斯特 Martin East', '克雷格·凯利 Craig Kelly', '格雷戈里·库克 Gregory Cooke', '利亚姆·图伊 Liam Tuohy', '詹姆斯·兰开斯特 James Lancaster', '艾尔莎·瑞雯 Elsa Raven', '卢·帕尔特 Lew Palter', '泰瑞·佛瑞斯塔 Terry Forrestal', '凯文·德·拉·诺伊 Kevin De La Noy",194,"[{'count': 168433, 'name': '爱情'}, {'count': 135286, 'name': '经典'}, {'count': 78330, 'name': '美国'}, {'count': 74346, 'name': '灾难'}, {'count': 54676, 'name': '浪漫'}, {'count': 47472, 'name': '感动'}, {'count': 39308, 'name': '奥斯卡'}, {'count': 26662, 'name': '1997'}]"
7,8,辛德勒的名单,1993,美国,剧情 历史 战争,9.4,414323,"英语', '希伯来语', '德语', '波兰语",史蒂文·斯皮尔伯格 Steven Spielberg,"连姆·尼森 Liam Neeson', '本·金斯利 Ben Kingsley', '拉尔夫·费因斯 Ralph Fiennes', '卡罗琳·古多尔 Caroline Goodall', '乔纳森·萨加尔 Jonathan Sagall', '艾伯丝·戴维兹 Embeth Davidtz', 'Malgoscha Gebel', '马克·伊瓦涅 Mark Ivanir', 'Béatrice Macola', '安德烈·瑟韦林 Andrzej Seweryn', 'Friedrich von Thun', 'Krzysztof Luft', 'Norbert Weisser",195,"[{'count': 71537, 'name': '人性'}, {'count': 68306, 'name': '二战'}, {'count': 59593, 'name': '斯皮尔伯格'}, {'count': 59068, 'name': '经典'}, {'count': 49554, 'name': '战争'}, {'count': 44535, 'name': '辛德勒的名单'}, {'count': 31515, 'name': '美国'}, {'count': 20974, 'name': '剧情'}]"
8,9,盗梦空间,2010,美国 英国,剧情 动作 科幻 悬疑 冒险,9.3,819985,"英语', '日语', '法语",克里斯托弗·诺兰 Christopher Nolan,"莱昂纳多·迪卡普里奥 Leonardo DiCaprio', '约瑟夫·高登-莱维特 Joseph Gordon-Levitt', '艾伦·佩吉 Ellen Page', '汤姆·哈迪 Tom Hardy', '渡边谦 Ken Watanabe (I)', '迪利普·劳 Dileep Rao', '希里安·墨菲 Cillian Murphy', '汤姆·贝伦杰 Tom Berenger', '玛丽昂·歌迪亚 Marion Cotillard', '皮特·波斯尔思韦特 Pete Postlethwaite', '迈克尔·凯恩 Michael Caine (I)', '卢卡斯·哈斯 Lukas Haas', '李太力 Tai-Li Lee', '克莱尔·吉尔蕾 Claire Geare', '马格努斯·诺兰 Magnus Nolan', '泰勒·吉蕾 Taylor Geare', '乔纳森·吉尔 Johnathan Geare', '水源士郎 Tohoru Masamune', '冈本玉二 Yuji Okumoto', '厄尔·卡梅伦 Earl Cameron', '瑞恩·海沃德 Ryan Hayward', '米兰达·诺兰 Miranda Nolan', '拉什·费加 Russ Fega', '蒂姆·科勒赫 Tim Kelleher', '妲露拉·莱莉 Talulah Riley",148,"[{'count': 149220, 'name': '科幻'}, {'count': 114009, 'name': '悬疑'}, {'count': 112852, 'name': '美国'}, {'count': 101764, 'name': '心理'}, {'count': 58945, 'name': '剧情'}, {'count': 49529, 'name': '经典'}, {'count': 35740, 'name': '哲学'}, {'count': 34614, 'name': '2010'}]"
9,10,机器人总动员,2008,美国,喜剧 科幻 动画,9.3,537492,英语,安德鲁·斯坦顿 Andrew Stanton,"本·贝尔特 Ben Burtt', '艾丽莎·奈特 Elissa Knight', '杰夫·格尔林 Jeff Garlin', '佛莱德·威拉特 Fred Willard",98,"[{'count': 110795, 'name': '动画'}, {'count': 62841, 'name': '科幻'}, {'count': 59040, 'name': '美国'}, {'count': 48512, 'name': '皮克斯'}, {'count': 45710, 'name': '感人'}, {'count': 44918, 'name': '爱情'}, {'count': 25246, 'name': '环保'}, {'count': 17041, 'name': '2008'}]"
