Id,已采,已发,电商平台,品牌,评论,时间,型号,PageUrl
1,TRUE,FALSE,京东,AO,挺好的 ，安装人员很负责 指的夸奖,2014/8/26 9:07,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-0.html?callback=CommentListNew.setData
2,TRUE,FALSE,京东,AO,自己安装的，感觉蛮好。后续追加。,2014/10/17 14:24,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-1.html?callback=CommentListNew.setData
3,TRUE,FALSE,京东,AO,\n\nAO史密斯（A.O.Smith） ET300J-60 电热水器 60升 还没安装,2014/11/12 13:36,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-2.html?callback=CommentListNew.setData
4,TRUE,FALSE,京东,AO,还没装，等安装之后再来吧，为装修备的货。,2014/11/16 0:04,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-3.html?callback=CommentListNew.setData
5,TRUE,FALSE,京东,AO,大小刚刚好，安装收了140材料费，活接、弯头啥的。试机顺利，16度加热到30度用了6分钟左右。希望能用50年，呵呵&hellip;&hellip;\n,2014/11/11 8:11,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-4.html?callback=CommentListNew.setData
6,TRUE,FALSE,京东,AO,价格便宜质量好！值得再次购买,2014/9/7 19:55,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-5.html?callback=CommentListNew.setData
7,TRUE,FALSE,京东,AO,像个圆筒，跟想象的有点不同。用起来还是很方便的，烧水快。厂家服务也很好。,2014/6/27 16:48,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-6.html?callback=CommentListNew.setData
8,TRUE,FALSE,京东,AO,很不错的产品，品牌信得过。,2014/11/10 17:33,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-7.html?callback=CommentListNew.setData
9,TRUE,FALSE,京东,AO,热水器可以，但是任何配件都没有，都要收费，另外安装来的很及时，但是态度就。。。,2014/12/5 8:45,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-8.html?callback=CommentListNew.setData
10,TRUE,FALSE,京东,AO,安装配件太贵了，一个支架80块，一个挂钩50块，接头20一个要用好多个，比五金店贵了好几倍，全部装好要300多,2014/12/5 12:56,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-9.html?callback=CommentListNew.setData
